transaction_id,investor_id,scheme_code,transaction_type,transaction_date,amount,nav_at_transaction,units
TXN769987,INV0130,120841,Switch Out,2021-03-25,50000,95.31,524.6039
TXN899550,INV0042,118632,Switch Out,2024-12-12,2500,129.4708,19.3094
TXN439902,INV0126,119551,Purchase,2020-04-03,10000,153.2841,65.2383
TXN945964,INV0079,125497,Redemption,2019-08-26,50000,138.0179,362.2719
TXN182582,INV0022,119092,Switch In,2019-10-11,10000,151.4009,66.0498
TXN231869,INV0033,118778,Switch In,2020-11-07,50000,102.9559,485.6448
TXN736059,INV0109,120841,Redemption,2021-04-03,10000,153.6966,65.0632
TXN804314,INV0167,120841,SIP,2023-11-30,5000,54.436,91.851
TXN226882,INV0064,118778,Redemption,2019-09-20,5000,57.6397,86.7458
TXN716886,INV0142,125497,Redemption,2021-06-21,500,57.6815,8.6683
TXN842225,INV0162,119551,Purchase,2021-07-26,500,181.447,2.7556
TXN446479,INV0019,120503,Switch Out,2021-09-01,500,42.9258,11.648
TXN608993,INV0055,120841,Switch Out,2020-06-25,25000,166.2564,150.3702
TXN595631,INV0063,119364,Switch In,2023-07-26,10000,69.7071,143.4574
TXN201639,INV0169,119092,Switch In,2022-12-22,500,109.6331,4.5607
TXN589710,INV0187,118989,Purchase,2020-02-08,5000,185.7126,26.9233
TXN863587,INV0087,119551,Purchase,2021-10-15,5000,129.6093,38.5775
TXN662336,INV0115,119092,Redemption,2023-09-25,1000,65.72,15.2161
TXN585100,INV0064,118632,Purchase,2023-12-21,2500,78.2953,31.9304
TXN153045,INV0167,118778,Switch Out,2019-03-02,500,186.4759,2.6813
TXN989921,INV0061,120503,Redemption,2023-07-23,50000,102.6145,487.2606
TXN324130,INV0103,120465,Purchase,2020-11-05,5000,129.7875,38.5245
TXN509386,INV0068,118989,Switch In,2022-03-14,500,108.1885,4.6216
TXN865990,INV0143,118989,Switch In,2020-09-26,25000,94.3345,265.0144
TXN328275,INV0015,119092,Switch Out,2019-09-07,2500,67.9575,36.7877
TXN152578,INV0150,125497,Switch In,2024-08-21,500,146.6526,3.4094
