scheme_code,scheme_name,nav_date,nav_value
119551,SBI Bluechip Fund Direct Growth,2019-01-01,60.2996
119551,SBI Bluechip Fund Direct Growth,2019-01-02,59.7805
119551,SBI Bluechip Fund Direct Growth,2019-01-03,59.2939
119551,SBI Bluechip Fund Direct Growth,2019-01-04,57.7892
119551,SBI Bluechip Fund Direct Growth,2019-01-07,57.3701
119551,SBI Bluechip Fund Direct Growth,2019-01-08,57.7988
119551,SBI Bluechip Fund Direct Growth,2019-01-09,59.5913
119551,SBI Bluechip Fund Direct Growth,2019-01-10,59.8911
119551,SBI Bluechip Fund Direct Growth,2019-01-11,59.9969
119551,SBI Bluechip Fund Direct Growth,2019-01-14,59.6438
119551,SBI Bluechip Fund Direct Growth,2019-01-15,59.2321
119551,SBI Bluechip Fund Direct Growth,2019-01-16,59.9233
119551,SBI Bluechip Fund Direct Growth,2019-01-17,60.1506
119551,SBI Bluechip Fund Direct Growth,2019-01-18,59.7098
119551,SBI Bluechip Fund Direct Growth,2019-01-21,58.9958
119551,SBI Bluechip Fund Direct Growth,2019-01-22,58.899
119551,SBI Bluechip Fund Direct Growth,2019-01-23,58.5395
119551,SBI Bluechip Fund Direct Growth,2019-01-24,58.5532
119551,SBI Bluechip Fund Direct Growth,2019-01-25,58.4095
119551,SBI Bluechip Fund Direct Growth,2019-01-28,58.6999
119551,SBI Bluechip Fund Direct Growth,2019-01-29,57.8264
119551,SBI Bluechip Fund Direct Growth,2019-01-30,58.6015
119551,SBI Bluechip Fund Direct Growth,2019-01-31,60.5728
119551,SBI Bluechip Fund Direct Growth,2019-02-01,61.4586
119551,SBI Bluechip Fund Direct Growth,2019-02-04,61.6383
119551,SBI Bluechip Fund Direct Growth,2019-02-05,62.309
119551,SBI Bluechip Fund Direct Growth,2019-02-06,61.5732
119551,SBI Bluechip Fund Direct Growth,2019-02-07,60.4218
119551,SBI Bluechip Fund Direct Growth,2019-02-08,61.0009
119551,SBI Bluechip Fund Direct Growth,2019-02-11,60.6253
119551,SBI Bluechip Fund Direct Growth,2019-02-12,59.6638
119551,SBI Bluechip Fund Direct Growth,2019-02-13,59.0512
119551,SBI Bluechip Fund Direct Growth,2019-02-14,58.2678
119551,SBI Bluechip Fund Direct Growth,2019-02-15,58.3793
119551,SBI Bluechip Fund Direct Growth,2019-02-18,58.8046
119551,SBI Bluechip Fund Direct Growth,2019-02-19,59.4487
119551,SBI Bluechip Fund Direct Growth,2019-02-20,60.1045
119551,SBI Bluechip Fund Direct Growth,2019-02-21,60.6671
119551,SBI Bluechip Fund Direct Growth,2019-02-22,60.5345
119551,SBI Bluechip Fund Direct Growth,2019-02-25,60.0997
119551,SBI Bluechip Fund Direct Growth,2019-02-26,59.0301
119551,SBI Bluechip Fund Direct Growth,2019-02-27,59.8267
119551,SBI Bluechip Fund Direct Growth,2019-02-28,59.7171
119551,SBI Bluechip Fund Direct Growth,2019-03-01,59.4409
119551,SBI Bluechip Fund Direct Growth,2019-03-04,60.3002
119551,SBI Bluechip Fund Direct Growth,2019-03-05,59.6684
119551,SBI Bluechip Fund Direct Growth,2019-03-06,60.284
119551,SBI Bluechip Fund Direct Growth,2019-03-07,60.5166
119551,SBI Bluechip Fund Direct Growth,2019-03-08,59.7811
119551,SBI Bluechip Fund Direct Growth,2019-03-11,59.7447
119551,SBI Bluechip Fund Direct Growth,2019-03-12,60.4601
119551,SBI Bluechip Fund Direct Growth,2019-03-13,61.0555
119551,SBI Bluechip Fund Direct Growth,2019-03-14,62.1695
119551,SBI Bluechip Fund Direct Growth,2019-03-15,62.4404
119551,SBI Bluechip Fund Direct Growth,2019-03-18,64.9859
119551,SBI Bluechip Fund Direct Growth,2019-03-19,64.2877
119551,SBI Bluechip Fund Direct Growth,2019-03-20,63.9994
119551,SBI Bluechip Fund Direct Growth,2019-03-21,63.9719
119551,SBI Bluechip Fund Direct Growth,2019-03-22,62.902
119551,SBI Bluechip Fund Direct Growth,2019-03-25,63.7077
119551,SBI Bluechip Fund Direct Growth,2019-03-26,64.4176
